,street,city,state,zipcode,price,bedroom,bath,Sq.ft,price per Sq.Ft,house_size,bed_bath_ratio,price_comparison
449,2967 Densmore Dr,San Jose,CA,95148,1698000.0,4,3.0,2350,722.553,medium,1.333,higher
450,7100 Rainbow Dr #33,San Jose,CA,95129,875000.0,2,1.5,1050,833.333,small,1.333,lower
451,7100 Rainbow Dr #23,San Jose,CA,95129,899000.0,2,1.5,1050,856.19,small,1.333,lower
452,611 Avenue One,San Jose,CA,95123,1295000.0,4,3.5,2205,587.302,medium,1.143,higher
453,3852 Ross Ave,San Jose,CA,95124,1249000.0,3,2.0,1240,1007.258,small,1.5,higher
454,1539 Arata Ct,San Jose,CA,95125,2849888.0,4,4.5,3000,949.963,large,0.889,higher
456,1310 Saddle Rack St #346,San Jose,CA,95126,799000.0,2,2.0,1258,635.135,small,1.0,lower
457,536 S 22Nd St,San Jose,CA,95116,1050000.0,4,3.5,1917,547.731,medium,1.143,equal
458,4757 Torrey Pines Cir,San Jose,CA,95124,1699000.0,3,3.0,2079,817.22,medium,1.0,higher
459,4233 Jan Way,San Jose,CA,95124,1250000.0,3,2.0,1271,983.478,small,1.5,higher
460,877 Clarkston Dr,San Jose,CA,95136,1389000.0,4,3.0,2088,665.23,medium,1.333,higher
461,762 El Sombroso Dr,San Jose,CA,95123,1575000.0,4,2.0,1516,1038.918,medium,2.0,higher
462,1090 Luther,San Jose,CA,95126,1264444.0,2,2.0,1321,957.187,small,1.0,higher
463,1327 W Hedding St,San Jose,CA,95126,1195500.0,2,1.0,1104,1082.88,small,2.0,higher
464,1158 Tofts Dr,San Jose,CA,95131,1388000.0,3,2.0,1393,996.411,small,1.5,higher
465,3681 Charter Hall Ct,San Jose,CA,95136,1799000.0,4,2.5,2096,858.302,medium,1.6,higher
466,135 El Bosque #135,San Jose,CA,95134,264900.0,3,2.0,1344,197.098,small,1.5,lower
467,373 Bautista Pl,San Jose,CA,95126,1150000.0,3,3.0,1621,709.439,medium,1.0,higher
468,11390 Enchanto Vista Dr,San Jose,CA,95127,1999900.0,6,4.5,3435,582.213,large,1.333,higher
469,255 Llano De Los Robles Ave #4,San Jose,CA,95136,1138888.0,3,2.0,1256,906.758,small,1.5,higher
470,1291-1293 N FIRST St,San Jose,CA,95112,1271400.0,4,2.0,1665,763.604,medium,2.0,higher
471,3554 Senter Rd,San Jose,CA,95111,800000.0,4,3.0,1536,520.833,medium,1.333,lower
472,2068 Warmwood Ln,San Jose,CA,95132,1249000.0,3,2.0,1399,892.781,small,1.5,higher
473,2903 Manda Dr,San Jose,CA,95124,1888888.0,4,2.0,1320,1430.976,small,2.0,higher
474,1744 Silverwood Dr,San Jose,CA,95124,1724900.0,3,2.5,1700,1014.647,medium,1.2,higher
475,1863 Anne Way,San Jose,CA,95124,1788000.0,4,3.0,2241,797.858,medium,1.333,higher
476,165 Blossom Hill Rd #118,San Jose,CA,95123,310000.0,3,2.0,1300,238.462,small,1.5,lower
478,1545 Michigan Ave,Alviso,CA,95002,699999.0,3,2.0,1254,558.213,small,1.5,lower
479,853 Toyon Ct,San Jose,CA,95127,1399888.0,3,2.0,1766,792.689,medium,1.5,higher
480,420 Fuller Ave,San Jose,CA,95125,1170000.0,4,2.0,1800,650.0,medium,2.0,higher
481,1128 Pheasant Hill Way,San Jose,CA,95120,1950000.0,3,2.5,2129,915.923,medium,1.2,higher
482,521 Rialto Pl,San Jose,CA,95128,1525000.0,4,4.0,1784,854.821,medium,1.0,higher
483,411 Lewis Rd #292,San Jose,CA,95111,185000.0,2,1.5,800,231.25,small,1.333,lower
484,5232 Camden Ave,San Jose,CA,95124,1299000.0,4,2.0,1391,933.861,small,2.0,higher
485,5872 Crump Ct,San Jose,CA,95120,1950000.0,3,2.5,1957,996.423,medium,1.2,higher
486,144E Quail Hollow Dr Unit 144E,San Jose,CA,95128,259999.0,2,2.0,1056,246.211,small,1.0,lower
487,336 Los Encinos Dr #336,San Jose,CA,95134,199900.0,2,2.0,1488,134.341,small,1.0,lower
488,620 Tully Rd,San Jose,CA,95111,2222222.0,3,1.0,1563,1421.767,medium,3.0,higher
489,1350 Oakland Rd #70,San Jose,CA,95112,420000.0,3,2.0,1180,355.932,small,1.5,lower
491,1375 Lick Ave #530,San Jose,CA,95110,560000.0,1,1.0,733,763.984,small,1.0,lower
492,1850 Evans Ln #72,San Jose,CA,95125,179999.0,1,1.0,620,290.321,small,1.0,lower
493,5706 Poglia Ct,San Jose,CA,95138,2595000.0,4,3.0,2833,915.99,large,1.333,higher
494,4851 Trent Dr,San Jose,CA,95124,1985000.0,4,3.0,2063,962.191,medium,1.333,higher
