,street,city,state,zipcode,price,bedroom,bath,Sq.ft,price per Sq.Ft,house_size,bed_bath_ratio,price_comparison
659,610 E 16th Ave,San Mateo,CA,94402,1598000.0,3,2.0,1380,1157.971,small,1.5,higher
660,419 Buena Vista Ave,San Mateo,CA,94403,2550000.0,4,3.0,2803,909.74,large,1.333,higher
661,86 Mission Dr,San Mateo,CA,94402,2200000.0,3,2.0,1575,1396.825,medium,1.5,higher
662,783 26th Ave,San Mateo,CA,94403,2699000.0,4,4.0,2263,1192.665,medium,1.0,higher
663,218 Commons Ln,Foster City,CA,94404,1200000.0,2,2.0,1500,800.0,medium,1.0,higher
664,930 Peninsula Ave #307,San Mateo,CA,94401,599990.0,1,1.0,772,777.189,small,1.0,lower
665,3615 Kingridge Dr,San Mateo,CA,94403,2198000.0,4,2.5,2520,872.222,large,1.6,higher
666,2229 Armada Way,San Mateo,CA,94404,1098000.0,2,2.5,1223,897.792,small,0.8,higher
667,874 Neptune Ct,San Mateo,CA,94404,1525000.0,3,2.5,1590,959.119,medium,1.2,higher
668,1612 Marina Ct Unit E,San Mateo,CA,94403,759000.0,3,1.5,1054,720.114,small,2.0,lower
669,3037 Los Prados St #229,San Mateo,CA,94403,598000.0,2,2.0,956,625.523,small,1.0,lower
670,740 Promontory Point Ln #3302,Foster City,CA,94404,1499000.0,3,2.5,2224,674.011,medium,1.2,higher
671,847 N Humboldt St #410,San Mateo,CA,94401,898000.0,2,2.0,1204,745.847,small,1.0,lower
672,210 Waters Park Cir #201,San Mateo,CA,94403,1699990.0,3,3.0,1798,945.489,medium,1.0,higher
673,3028 Fernwood St,San Mateo,CA,94403,1550000.0,3,2.0,1360,1139.706,small,1.5,higher
674,1013 Haddon Dr,San Mateo,CA,94402,1549800.0,3,1.0,1180,1313.39,small,3.0,higher
676,840 Sea Spray Ln #207,Foster City,CA,94404,869000.0,2,2.0,1233,704.785,small,1.0,lower
677,320 Peninsula Ave #113,San Mateo,CA,94401,698000.0,2,2.0,930,750.538,small,1.0,lower
678,312 24th Ave,San Mateo,CA,94403,1498000.0,3,2.0,1490,1005.369,small,1.5,higher
679,425 Anchor Rd #212,San Mateo,CA,94404,760000.0,2,1.0,950,800.0,small,2.0,lower
681,1115 Shoreline Dr,San Mateo,CA,94404,1498000.0,3,2.0,1625,921.846,medium,1.5,higher
682,101 Arroyo Ct #2,San Mateo,CA,94402,1388000.0,2,2.0,1475,941.017,small,1.0,higher
683,10 Crystal Springs Rd #1504,San Mateo,CA,94402,1798000.0,2,2.0,1732,1038.106,medium,1.0,higher
684,325 Landfair Ave,San Mateo,CA,94403,1249000.0,2,1.0,900,1387.778,small,2.0,higher
685,6 Fairoaks Ct,San Mateo,CA,94403,2700000.0,3,3.5,2420,1115.702,medium,0.857,higher
689,946 Peninsula Ave,San Mateo,CA,94401,825000.0,2,1.5,1152,716.146,small,1.333,lower
690,10 Crystal Springs Rd #2114,San Mateo,CA,94402,1050000.0,2,2.0,1187,884.583,small,1.0,equal
691,1919 Alameda De Las Pulgas #38,San Mateo,CA,94403,888000.0,2,2.0,1024,867.188,small,1.0,lower
692,1537 De Anza Blvd,San Mateo,CA,94403,1798000.0,2,2.5,2100,856.19,medium,0.8,higher
693,513 Santa Clara Way,San Mateo,CA,94403,1888888.0,4,2.0,1500,1259.259,medium,2.0,higher
732,3090 Kansas #3,Oakland,CA,94602,599000.0,3,2.0,1158,517.271,small,1.5,lower
734,6256 Melville Dr,Oakland,CA,94611,2595000.0,4,2.5,3355,773.472,large,1.6,higher
735,981 39Th St,Oakland,CA,94608,1495000.0,7,4.5,2997,498.832,large,1.556,higher
736,5600 Oak Grove Ave,Oakland,CA,94618,1395000.0,4,2.0,1560,894.231,medium,2.0,higher
737,441 51st St,Oakland,CA,94609,899000.0,2,1.0,1073,837.838,small,2.0,lower
738,4375 Fleming Ave,Oakland,CA,94619,749000.0,3,2.0,1331,562.735,small,1.5,lower
739,9512 Olive St,Oakland,CA,94603,547000.0,3,1.0,913,599.124,small,3.0,lower
740,959 86Th Ave,Oakland,CA,94621,525000.0,3,1.0,880,596.591,small,3.0,lower
742,5552 Estates Dr,Oakland,CA,94618,1298000.0,3,2.5,1757,738.759,medium,1.2,higher
743,85 Vernon St #104,Oakland,CA,94610,449000.0,1,1.0,648,692.901,small,1.0,lower
744,344 Warwick Ave,Oakland,CA,94610,1690000.0,3,2.5,2192,770.985,medium,1.2,higher
745,3790 Manila Ave,Oakland,CA,94609,328900.0,2,1.0,1016,323.72,small,2.0,lower
746,2249 Ransom Ave,Oakland,CA,94601,649000.0,2,1.0,979,662.921,small,2.0,lower
747,3228 Magnolia St,Oakland,CA,94608,975000.0,4,3.0,2502,389.688,large,1.333,lower
748,2000 38Th Ave,Oakland,CA,94601,399000.0,2,1.0,1207,330.572,small,2.0,lower
749,5055 Mcdonell Ave,Oakland,CA,94619,600000.0,2,1.0,1026,584.795,small,2.0,lower
750,5024 Leona St,Oakland,CA,94619,600000.0,2,1.0,792,757.576,small,2.0,lower
751,5020 Leona St,Oakland,CA,94619,600000.0,4,2.5,1797,333.89,medium,1.6,lower
752,1017 60Th St,Oakland,CA,94608,1149000.0,4,2.0,1991,577.097,medium,2.0,higher
753,5876 Birch Ct,Oakland,CA,94618,1195000.0,2,1.5,1225,975.51,small,1.333,higher
754,2643 Market,Oakland,CA,94607,719000.0,3,1.0,1138,631.81,small,3.0,lower
755,2010 E 25th St,Oakland,CA,94606,609000.0,2,1.0,740,822.973,small,2.0,lower
756,1555 Lakeside Dr #1,Oakland,CA,94612,1799000.0,3,2.0,2274,791.117,medium,1.5,higher
757,1450 E 31st stret,Oakland,CA,94602,555000.0,2,1.0,961,577.523,small,2.0,lower
759,4449 Park Blvd,Oakland,CA,94602,1098000.0,3,1.5,1382,794.501,small,2.0,higher
760,593 Martin Mariner Ave,Alameda,CA,94501,1042243.0,2,2.5,1366,762.989,small,0.8,lower
762,3785 Harrison St,Oakland,CA,94611,1698888.0,5,3.5,2973,571.439,large,1.429,higher
763,1745 96Th Ave,Oakland,CA,94603,549000.0,3,1.0,1200,457.5,small,3.0,lower
764,5756 Florence Ter,Oakland,CA,94611,1089000.0,3,2.0,1491,730.382,small,1.5,higher
765,330 Park View Ter #100,Oakland,CA,94610,559000.0,1,1.0,830,673.494,small,1.0,lower
766,2734 Carisbrook Dr,Oakland,CA,94611,1295000.0,3,2.0,2251,575.3,medium,1.5,higher
767,801 Franklin St #1235,Oakland,CA,94607,490000.0,2,1.5,1200,408.333,small,1.333,lower
768,981 41st St #116,Oakland,CA,94608,998900.0,3,2.5,1857,537.911,medium,1.2,lower
769,534 52nd St,Oakland,CA,94609,759950.0,3,2.5,1244,610.892,small,1.2,lower
770,635 Canyon Oaks Dr Unit F,Oakland,CA,94605,469000.0,1,1.0,815,575.46,small,1.0,lower
771,5030 Trask St,Oakland,CA,94601,650000.0,2,1.0,1098,591.985,small,2.0,lower
772,1912 Crosby Ave,Oakland,CA,94601,745000.0,4,1.0,2391,311.585,medium,4.0,lower
773,1511 Jefferson St #101,Oakland,CA,94612,475000.0,1,1.0,752,631.649,small,1.0,lower
774,7553 VALENTINE St,Oakland,CA,94605,799000.0,2,1.5,1156,691.176,small,1.333,lower
775,3201 Randolph Ave,Oakland,CA,94602,779000.0,4,2.0,1914,407.001,medium,2.0,lower
776,9014 Skyline Blvd,Oakland,CA,94611,1350000.0,4,3.0,2090,645.933,medium,1.333,higher
777,3701 Wisconsin St,Oakland,CA,94619,895000.0,2,2.0,1348,663.947,small,1.0,lower
779,3449 Encina Way,Oakland,CA,94605,795000.0,4,2.0,1897,419.083,medium,2.0,lower
780,1012 63rd St,Oakland,CA,94608,995000.0,3,1.0,1195,832.636,small,3.0,lower
781,2012 64th Ave,Oakland,CA,94621,335000.0,2,1.0,770,435.065,small,2.0,lower
782,1014 Rose Ave,Piedmont,CA,94611,1250000.0,3,1.0,1572,795.165,medium,3.0,higher
783,295 Lenox Ave #203,Oakland,CA,94610,499000.0,1,1.0,876,569.635,small,1.0,lower
784,3038 35Th Ave,Oakland,CA,94619,999998.0,6,3.0,2682,372.855,large,2.0,lower
785,4406 Whittle Ave,Oakland,CA,94602,1289000.0,3,2.0,1941,664.091,medium,1.5,higher
787,3879 Fruitvale Ave,Oakland,CA,94602,900000.0,2,1.0,1180,762.712,small,2.0,lower
788,3535 Laguna Ave,Oakland,CA,94602,499000.0,1,1.0,532,937.97,small,1.0,lower
789,375 44th St,Oakland,CA,94609,625000.0,1,1.0,720,868.056,small,1.0,lower
790,4207 Lincoln Ave,Oakland,CA,94602,1049000.0,3,3.0,1447,724.948,small,1.0,lower
791,1091 67th St,Oakland,CA,94608,753000.0,2,2.0,1193,631.182,small,1.0,lower
792,1957 86Th Ave,Oakland,CA,94621,549900.0,3,2.0,828,664.13,small,1.5,lower
794,1451 13Th St #1,Oakland,CA,94607,499000.0,1,1.5,887,562.57,small,0.667,lower
795,14060 Broadway Ter,Oakland,CA,94611,1595000.0,3,2.5,2682,594.705,large,1.2,higher
796,3225 Dakota St,Oakland,CA,94602,799000.0,2,1.5,1306,611.792,small,1.333,lower
797,6799 Skyview Dr,Oakland,CA,94605,1619040.0,4,2.5,2903,557.713,large,1.6,higher
798,4146 Norton Ave,Oakland,CA,94602,1095000.0,3,2.0,1616,677.599,medium,1.5,higher
799,7975 Hillmont Dr,Oakland,CA,94605,789000.0,3,1.0,1127,700.089,small,3.0,lower
800,1121 40th St #5203,Emeryville,CA,94608,385000.0,1,1.0,507,759.369,small,1.0,lower
801,10468 West Ct,Oakland,CA,94603,599888.0,3,2.0,1196,501.579,small,1.5,lower
802,3856 Maybelle Ave,Oakland,CA,94619,538500.0,2,1.5,1036,519.788,small,1.333,lower
803,1405 Harmon St,Berkeley,CA,94702,1098000.0,3,2.0,1304,842.025,small,1.5,higher
804,1121 40th St #5303,Emeryville,CA,64608,369000.0,1,1.0,507,727.811,small,1.0,lower
805,9015 Castlewood St,Oakland,CA,94605,899000.0,3,2.0,1364,659.091,small,1.5,lower
806,5400 Broadway Ter #201,Oakland,CA,94618,859000.0,2,2.0,1030,833.981,small,1.0,lower
807,1101 Peralta St,Oakland,CA,94607,549500.0,5,2.0,2872,191.33,large,2.5,lower
808,6931 Simson St,Oakland,CA,94605,399000.0,2,1.0,830,480.723,small,2.0,lower
809,1531 77th Ave,Oakland,CA,94621,599000.0,3,1.5,1237,484.236,small,2.0,lower
812,1 W Embarcadero W #362,Oakland,CA,94607,569000.0,2,1.5,1050,541.905,small,1.333,lower
813,441 37Th St,Oakland,CA,94609,1075000.0,3,2.0,1926,558.152,medium,1.5,higher
814,2167 Andrews St,Oakland,CA,94611,1049000.0,3,2.5,1469,714.091,small,1.2,lower
815,1689 Woodhaven Way,Oakland,CA,94611,965000.0,1,1.0,925,1043.243,small,1.0,lower
816,3417 Salisbury St,Oakland,CA,94601,900000.0,4,1.0,1369,657.414,small,4.0,lower
817,1042 Leo Way,Oakland,CA,94611,1200000.0,4,2.0,1910,628.272,medium,2.0,higher
818,5767 Mendocino Ave,Oakland,CA,94618,1399000.0,3,1.0,1478,946.549,small,3.0,higher
821,51 Chelton Ln,Oakland,CA,94611,1198000.0,4,2.0,1600,748.75,medium,2.0,higher
822,250 Capricorn Ave,Oakland,CA,94611,889000.0,3,2.0,1176,755.952,small,1.5,lower
823,1720 46th Ave,Oakland,CA,94601,638000.0,4,2.5,1452,439.394,small,1.6,lower
825,200 Caldecott Ln #110,Oakland,CA,94618,709900.0,2,2.0,1119,634.406,small,1.0,lower
826,5447 Wadean Pl,Oakland,CA,94601,549000.0,3,1.0,960,571.875,small,3.0,lower
827,535 30Th St,Oakland,CA,94609,1225000.0,4,3.0,1904,643.382,medium,1.333,higher
829,2636 38th Ave,Oakland,CA,94619,839999.0,5,2.0,1473,570.264,small,2.5,lower
830,1007 41st St #112,Emeryville,CA,94608,439000.0,1,1.0,668,657.186,small,1.0,lower
831,3381 Victor Ave,Oakland,CA,94602,999500.0,3,3.0,1826,547.371,medium,1.0,lower
832,8333 International Blvd,Oakland,CA,94621,380000.0,3,1.5,1508,251.989,medium,2.0,lower
833,4957 Desmond St,Oakland,CA,94618,1650000.0,5,3.5,3126,527.831,large,1.429,higher
834,989 Franklin St #610,Oakland,CA,94107,410000.0,1,1.0,524,782.443,small,1.0,lower
835,4117 Penniman Ave,Oakland,CA,94619,599000.0,2,1.0,799,749.687,small,2.0,lower
836,222 Broadway #801,Oakland,CA,94607,1095000.0,2,2.5,1292,847.523,small,0.8,higher
837,3683 Lily St,Oakland,CA,94619,1228000.0,4,2.5,2025,606.42,medium,1.6,higher
838,2246 Ransom Ave,Oakland,CA,94601,698000.0,3,1.0,1120,623.214,small,3.0,lower
839,1192 71St Ave,Oakland,CA,94621,715000.0,7,4.0,2576,277.562,large,1.75,lower
842,1507 67Th Ave,Oakland,CA,94621,599000.0,3,2.0,1252,478.435,small,1.5,lower
844,5835 THORNHILL Dr #1,Oakland,CA,94611,425000.0,1,1.0,670,634.328,small,1.0,lower
845,6227 Ascot Dr,Oakland,CA,94611,1350000.0,3,2.5,3090,436.893,large,1.2,higher
846,300 Caldecott Ln #207,Oakland,CA,94618,505000.0,1,1.0,773,653.299,small,1.0,lower
847,7046 Outlook Ave,Oakland,CA,94605,799000.0,3,2.0,1184,674.831,small,1.5,lower
848,4826 Allendale Ave,Oakland,CA,94619,995000.0,3,2.5,2394,415.622,medium,1.2,lower
849,5133 Camden St,Oakland,CA,94619,1098000.0,3,3.0,1940,565.979,medium,1.0,higher
850,1546 3rd Ave,Oakland,CA,94606,898000.0,3,2.0,2096,428.435,medium,1.5,lower
851,3800 Maybelle Ave #4,Oakland,CA,94619,499000.0,2,1.5,1031,483.996,small,1.333,lower
852,264 Saint James Dr,Piedmont,CA,94611,2250000.0,4,3.0,2516,894.277,large,1.333,higher
853,678 62Nd St,Oakland,CA,94609,998000.0,6,2.5,3091,322.873,large,2.4,lower
854,410 Webster St #7,Oakland,CA,94607,385000.0,1,1.0,436,883.028,small,1.0,lower
855,4000 Greenwood Ave,Oakland,CA,94602,1950000.0,5,3.0,3169,615.336,large,1.667,higher
856,2557 Potomac,Oakland,CA,94602,1058000.0,3,2.0,1206,877.28,small,1.5,higher
857,3770 35Th Ave,Oakland,CA,94619,525000.0,2,1.0,840,625.0,small,2.0,lower
859,2572 60th Ave,Oakland,CA,34605,644900.0,4,2.0,2822,228.526,large,2.0,lower
860,630 Thomas L Berkley Way #510,Oakland,CA,94612,749000.0,2,2.0,1341,558.538,small,1.0,lower
861,850 West Grand Ave #3,Oakland,CA,94607,549900.0,1,2.0,1563,351.823,medium,0.5,lower
862,1615 Auseon Ave,Oakland,CA,94621,535000.0,3,1.0,1294,413.447,small,3.0,lower
863,2568 Humboldt Ave,Oakland,CA,94601,949000.0,3,2.0,1185,800.844,small,1.5,lower
864,2037 19Th Ave,Oakland,CA,94606,699000.0,3,2.0,1120,624.107,small,1.5,lower
865,4241 Maple Ave,Oakland,CA,94602,1798000.0,4,4.0,3151,570.613,large,1.0,higher
867,4866 Harbord Dr,Oakland,CA,94618,1195000.0,3,2.0,1438,831.015,small,1.5,higher
868,1124 Hollywood Ave #3,Oakland,CA,94602,599000.0,1,1.0,894,670.022,small,1.0,lower
869,5026 Foothill Blvd,Oakland,CA,94601,599000.0,3,3.5,1260,475.397,small,0.857,lower
870,2201 Coloma St,Oakland,CA,94602,765000.0,2,1.0,1070,714.953,small,2.0,lower
871,3906 Forest Hill Ave,Oakland,CA,94602,1200000.0,3,2.0,1317,911.162,small,1.5,higher
872,873 Wood St,Oakland,CA,94607,800000.0,4,2.0,1636,488.998,medium,2.0,lower
873,958 28th St #5,Oakland,CA,94608,698000.0,1,1.0,1056,660.985,small,1.0,lower
874,240 Caldecott #212,Oakland,CA,94618,505000.0,1,1.0,773,653.299,small,1.0,lower
876,901 Jefferson St #317,Oakland,CA,94607,569000.0,1,1.0,690,824.638,small,1.0,lower
877,2423 9Th Ave,Oakland,CA,94606,899000.0,4,3.0,1607,559.428,medium,1.333,lower
878,3875 Fairway Ave,Oakland,CA,94605,1498888.0,4,3.0,2481,604.147,medium,1.333,higher
879,18 Windward Hl,Oakland,CA,94618,1695000.0,3,2.5,2112,802.557,medium,1.2,higher
882,3360 Dwight Way,Berkeley,CA,94704,1995000.0,4,4.0,2976,670.363,large,1.0,higher
883,3953 TURNLEY Ave,Oakland,CA,94605,1150000.0,4,2.0,1660,692.771,medium,2.0,higher
884,5728 Moraga Ave,Oakland,CA,94611,1795000.0,4,3.0,2653,676.593,large,1.333,higher
885,8106 Holly St,Oakland,CA,94621,400000.0,3,2.0,900,444.444,small,1.5,lower
886,1514 69Th Ave,Oakland,CA,94621,525000.0,3,1.0,1233,425.791,small,3.0,lower
887,5926 Dover St,Oakland,CA,94609,1975000.0,4,3.0,2412,818.823,medium,1.333,higher
888,2316 Ransom Ave,Oakland,CA,94601,599950.0,3,2.0,1020,588.186,small,1.5,lower
889,1428 Madison St #305,Oakland,CA,94612,358800.0,1,1.0,554,647.653,small,1.0,lower
890,950 39Th St,Oakland,CA,94608,1010000.0,2,2.0,1132,892.226,small,1.0,lower
891,222 Broadway #1107,Oakland,CA,94607,898000.0,2,2.5,1269,707.644,small,0.8,lower
892,1200 65TH St #306,Emeryville,CA,94608,849000.0,2,1.5,1429,594.122,small,1.333,lower
893,165 8th St,Oakland,CA,94607,935000.0,4,2.0,1639,570.47,medium,2.0,lower
894,1121 40Th St #3402,Emeryville,CA,94608,419600.0,1,1.0,622,674.598,small,1.0,lower
895,2120 Rosedale Ave,Oakland,CA,94601,649000.0,3,1.0,1347,481.811,small,3.0,lower
896,9331 Empire Rd,Oakland,CA,94603,625000.0,3,1.0,1094,571.298,small,3.0,lower
897,1418 8th St,Oakland,CA,94607,947000.0,3,2.0,2570,368.482,large,1.5,lower
898,2551 Castello St,Oakland,CA,94602,999000.0,3,2.5,1852,539.417,medium,1.2,lower
899,244 Lakeside Dr #17,Oakland,CA,94612,1695000.0,3,2.0,2456,690.147,medium,1.5,higher
900,1669 85th Ave,Oakland,CA,94621,939000.0,7,3.0,3152,297.906,large,2.333,lower
902,1036 30TH St,Oakland,CA,94608,925000.0,4,3.0,1987,465.526,medium,1.333,lower
903,1477 Tucker St,Oakland,CA,94603,549000.0,2,2.5,1450,378.621,small,0.8,lower
904,1238 94th Ave,Oakland,CA,94603,580000.0,4,2.0,1154,502.6,small,2.0,lower
905,1839 W 108Th Ave,Oakland,CA,94603,699000.0,3,2.0,1963,356.088,medium,1.5,lower
906,3435 Dimond Ave,Oakland,CA,94602,899000.0,2,2.0,1286,699.067,small,1.0,lower
907,3204 60th Ave,Oakland,CA,94605,599000.0,2,2.0,930,644.086,small,1.0,lower
909,5630 E 16Th St,Oakland,CA,94621,545000.0,3,1.0,1288,423.137,small,3.0,lower
910,4701 Dunkirk Ave,Oakland,CA,94605,999000.0,3,2.0,1792,557.478,medium,1.5,lower
912,1746 14th St,Oakland,CA,94607,1095000.0,3,2.5,1700,644.118,medium,1.2,higher
913,1616 69Th Ave,Oakland,CA,94621,600000.0,2,1.0,800,750.0,small,2.0,lower
914,2142 64th Ave,Oakland,CA,94621,475000.0,2,1.0,1044,454.981,small,2.0,lower
915,6001 Valley View Rd,Oakland,CA,94611,679000.0,1,1.0,792,857.323,small,1.0,lower
916,1841 E 24Th St,Oakland,CA,94606,599000.0,2,1.0,818,732.274,small,2.0,lower
917,3328 Martin Luther King Jr Way,Oakland,CA,94609,699999.0,3,2.0,1660,421.686,medium,1.5,lower
918,1755 Broadway #21,Oakland,CA,94612,498800.0,1,1.0,905,551.16,small,1.0,lower
920,929 E 22nd St,Oakland,CA,94606,679000.0,2,1.0,972,698.56,small,2.0,lower
921,4755 Fairfax Ave,Oakland,CA,94601,899000.0,4,2.0,1433,627.355,small,2.0,lower
922,2478 66Th Ave,Oakland,CA,94605,632499.0,3,1.5,1239,510.492,small,2.0,lower
923,2941 Minna Ave,Oakland,CA,94619,775000.0,3,1.5,2100,369.048,medium,2.0,lower
924,7523 Outlook Ave,Oakland,CA,94605,1350000.0,6,2.5,2953,457.162,large,2.4,higher
927,3218 Market St,Oakland,CA,94608,798000.0,3,2.0,1701,469.136,medium,1.5,lower
928,428 Alice St #707,Oakland,CA,94607,798000.0,2,2.0,1079,739.574,small,1.0,lower
929,1 Lakeside Dr #1809,Oakland,CA,94612,680000.0,1,1.0,835,814.371,small,1.0,lower
930,1121 40Th St #4304,Emeryville,CA,94608,403700.0,1,1.0,622,649.035,small,1.0,lower
931,4116 Mountain View Ave,Oakland,CA,94605,849000.0,3,2.0,1281,662.763,small,1.5,lower
932,3229 Monterey Blvd,Oakland,CA,94602,1499999.0,5,3.0,2620,572.519,large,1.667,higher
933,3926 Columbian Dr,Oakland,CA,94605,995000.0,4,3.0,2777,358.3,large,1.333,lower
934,4721 Brookdale Ave,Oakland,CA,94619,998000.0,3,2.0,1728,577.546,medium,1.5,lower
935,247 4th St #100,Oakland,CA,94607-4303,524999.0,1,1.5,840,624.999,small,0.667,lower
936,3518 Meadow St,Oakland,CA,94601,850000.0,5,3.0,2482,342.466,medium,1.667,lower
937,585 9th St #556,Oakland,CA,94607,589000.0,1,1.0,805,731.677,small,1.0,lower
938,Undisclosed Address,Oakland,CA,94605,975000.0,3,1.0,1040,937.5,small,3.0,lower
939,2545 Havenscourt Blvd,Oakland,CA,94605,600000.0,3,1.5,1431,419.287,small,2.0,lower
940,1630 61st Ave,Oakland,CA,94621,658888.0,6,2.0,2424,271.818,medium,3.0,lower
941,6465 San Pablo Ave Unit 4-3,Oakland,CA,94608,549000.0,2,2.0,972,564.815,small,1.0,lower
943,131 Temescal Cir,Emeryville,CA,94608,760000.0,3,2.0,1198,634.391,small,1.5,lower
944,1250 Powell St #10,Emeryville,CA,94608,720000.0,1,1.5,985,730.964,small,0.667,lower
945,166 Santa Rosa Ave,Oakland,CA,94610,1385000.0,5,3.0,2136,648.408,medium,1.667,higher
946,39681 Catamaran Ct,Fremont,CA,94538,1300000.0,3,2.0,1067,1218.369,small,1.5,higher
947,48477 Ursa Dr,Fremont,CA,94539,1799000.0,3,2.5,1852,971.382,medium,1.2,higher
948,5254 Silver Reef Dr,Fremont,CA,94538,1100000.0,3,2.0,1116,985.663,small,1.5,higher
949,47493 Cholla St,Fremont,CA,94539,1774900.0,4,2.0,1964,903.717,medium,2.0,higher
950,38727 Huntington Cir,Fremont,CA,94536,950000.0,2,2.5,1248,761.218,small,0.8,lower
951,40687 Penstemon Ter,Fremont,CA,94538,1299000.0,4,4.0,1975,657.722,medium,1.0,higher
952,1765 Valdez Way,Fremont,CA,94539,1949888.0,3,3.0,1696,1149.698,medium,1.0,higher
953,38888 Salmon Ter,Fremont,CA,94536,1020000.0,3,2.5,1400,728.571,small,1.2,lower
954,1259 Filton Ct,Fremont,CA,94536,1199999.0,3,1.0,1014,1183.431,small,3.0,higher
955,385 Manferd St,Milpitas,CA,95035,1499000.0,4,2.5,1943,771.487,medium,1.6,higher
956,35929 Carnation Way,Fremont,CA,94536,1438000.0,3,2.0,1576,912.437,medium,1.5,higher
957,836 Regan Way,Fremont,CA,94539,1999000.0,4,2.0,2028,985.7,medium,2.0,higher
958,191 WENATCHEE Cmn #15,Fremont,CA,94539,780000.0,3,2.0,1214,642.504,small,1.5,lower
959,34755 Potomac River Pl,Fremont,CA,94555,1469000.0,4,2.0,1773,828.539,medium,2.0,higher
960,38627 Cherry Ln #79,Fremont,CA,94536,398000.0,1,1.0,628,633.758,small,1.0,lower
962,2250 Kilowatt Way #207,Fremont,CA,94539,1178283.0,2,2.0,1743,676.009,medium,1.0,higher
964,40751 Creston St,Fremont,CA,94538,1495000.0,4,2.0,1556,960.797,medium,2.0,higher
965,4226 Stanley Ave,Fremont,CA,94538,1385000.0,3,2.0,1310,1057.252,small,1.5,higher
966,370 Stacey Cmn #24,Fremont,CA,94539,665000.0,2,2.0,926,718.143,small,1.0,lower
967,309 School St,Fremont,CA,94536,1249950.0,3,2.5,1850,675.649,medium,1.2,higher
968,39329 Marbella Terraza,Fremont,CA,94538,919888.0,2,3.0,1578,582.946,medium,0.667,lower
969,3768 Capitol Ave Unit 418B,Fremont,CA,94538,899000.0,2,2.0,1109,810.64,small,1.0,lower
971,3425 Inspiration Way #202,Fremont,CA,94538,1208733.0,3,2.0,1771,682.514,medium,1.5,higher
972,37759 3rd St,Fremont,CA,94536,999999.0,2,2.0,1152,868.055,small,1.0,lower
973,4650 Falstaff Ave,Fremont,CA,94555,1575000.0,3,2.0,1494,1054.217,small,1.5,higher
974,46876 Shale Cmn #142,Fremont,CA,94539,699800.0,2,2.0,936,747.65,small,1.0,lower
976,38201 Logan Dr,Fremont,CA,94536,2343000.0,4,2.0,2281,1027.181,medium,2.0,higher
977,134 Hackamore Ln,Fremont,CA,94539,689000.0,2,2.0,740,931.081,small,1.0,lower
978,40879 Blacow Rd,Fremont,CA,94538,1208000.0,3,2.0,1175,1028.085,small,1.5,higher
980,3601 Integration Cmn,Fremont,CA,94538,1343880.0,4,3.5,2086,644.238,medium,1.143,higher
981,4934 Seneca Park Loop,Fremont,CA,94538,1599999.0,4,2.5,2097,762.994,medium,1.6,higher
982,40817 Tomales Ter,Fremont,CA,94538,1198000.0,3,3.0,1712,699.766,medium,1.0,higher
983,37225 Towers Way,Fremont,CA,94536,858800.0,3,1.0,987,870.111,small,3.0,lower
984,3216 Bruce Dr,Fremont,CA,94539,1999000.0,3,3.0,1920,1041.146,medium,1.0,higher
986,4146 Jacinto Dr,Fremont,CA,94536,1390000.0,3,2.0,1730,803.468,medium,1.5,higher
987,47337 Royce Falls Ter,Fremont,CA,94539,1248000.0,3,3.5,2242,556.646,medium,0.857,higher
988,38455 Bronson St #322,Fremont,CA,94536,499000.0,2,1.0,950,525.263,small,2.0,lower
989,711 Old Canyon Rd #176,Fremont,CA,94536-1726,289888.0,2,2.0,1120,258.829,small,1.0,lower
990,40444 Citrus Dr,Fremont,CA,94538,1100000.0,3,1.0,1200,916.667,small,3.0,higher
991,1908 Reflection Common 101,Fremont,CA,94539,1808630.0,4,3.5,2453,737.313,medium,1.143,higher
992,3512 Vision Common 320,Fremont,CA,94538,933880.0,3,2.0,1495,624.669,small,1.5,lower
993,3695 Stevenson Blvd Unit E208,Fremont,CA,94538,700000.0,2,2.0,1040,673.077,small,1.0,lower
994,2715 Barrington Ter,Fremont,CA,94536,1550000.0,3,3.0,1466,1057.299,small,1.0,higher
995,3593 Integration Cmn,Fremont,CA,94538,1306535.0,3,3.5,1891,690.923,medium,0.857,higher
997,4038 Central Ave #306,Fremont,CA,94536,879000.0,2,2.5,1210,726.446,small,0.8,lower
998,39262 Logan Dr,Fremont,CA,94538,1295000.0,4,2.0,1948,664.784,medium,2.0,higher
999,4685 Cambio Ct,Fremont,CA,94536,1350000.0,4,4.0,2306,585.429,medium,1.0,higher
1000,2460 Night Shade Ln,Fremont,CA,94539,1588000.0,4,2.5,2252,705.151,medium,1.6,higher
1001,5225 Morris Way,Fremont,CA,94536,1298000.0,4,2.0,1265,1026.087,small,2.0,higher
1002,39123 Walnut Ter,Fremont,CA,94536,564800.0,2,1.0,732,771.585,small,2.0,lower
1003,4303 Cahill St,Fremont,CA,94538,1197000.0,3,2.0,1201,996.669,small,1.5,higher
1004,37481 Summer Holly Cmn,Fremont,CA,94536,1380000.0,4,2.5,1866,739.55,medium,1.6,higher
1006,34109 Susa Ter,Fremont,CA,94555,1500000.0,4,3.5,1969,761.808,medium,1.143,higher
1007,3635 Silicon Cmn,Fremont,CA,94538,1558607.0,4,3.5,2156,722.916,medium,1.143,higher
1009,34231 Perry Glen Ter,Union City,CA,94587,2499000.0,4,3.0,2273,1099.428,medium,1.333,higher
